,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__class_weight,param_pca__apply_PCA,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
59,0.4197067419687907,0.016295738628984903,0.009825309117635092,0.0003459990206595259,0.21544346900318845,,False,,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': None}",0.663985996387247,0.6680825945213928,0.652233120502311,0.6614339038036503,0.0067174568147389865,139
60,0.637251615524292,0.023436999969030887,0.020334402720133465,0.00247362434668332,0.21544346900318845,balanced,True,0.5,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.5}",0.6644983177525553,0.6710162770493702,0.6545213053160409,0.663345300039322,0.006783220007543363,55
61,0.6581035455067953,0.01803102496196272,0.01776274045308431,0.0004379750523860924,0.21544346900318845,balanced,True,0.7,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.7}",0.6644983177525553,0.6710162770493702,0.6545213053160409,0.663345300039322,0.006783220007543363,55
62,0.6483515103658041,0.03817833384018705,0.018054723739624023,0.00174565942774738,0.21544346900318845,balanced,True,0.8,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.8}",0.6644983177525553,0.6710162770493702,0.6545213053160409,0.663345300039322,0.006783220007543363,55
63,0.6482691764831543,0.022314781586638435,0.020634889602661133,0.0018894410808449245,0.21544346900318845,balanced,True,0.9,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.9}",0.6644983177525553,0.6710162770493702,0.6545213053160409,0.663345300039322,0.006783220007543363,55
64,0.6739933490753174,0.03134773761015717,0.018681685129801433,0.002799484013510614,0.21544346900318845,balanced,True,0.95,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.95}",0.6644983177525553,0.6710162770493702,0.6545213053160409,0.663345300039322,0.006783220007543363,55
65,0.9528989791870117,0.11729899527048243,0.024892091751098633,0.004858801784676025,0.21544346900318845,balanced,True,,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': None}",0.6644983177525553,0.6710162770493702,0.6545213053160409,0.663345300039322,0.006783220007543363,55
66,0.8919862906138102,0.07601972485448355,0.01731562614440918,0.0038000141922690826,0.21544346900318845,balanced,False,0.5,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.5}",0.6645048828578535,0.6710145745309075,0.654526656088352,0.663348704492371,0.006780630499282378,49
67,0.923198382059733,0.038708035327545715,0.015075922012329102,0.0017964675557043282,0.21544346900318845,balanced,False,0.7,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.7}",0.6645048828578535,0.6710145745309075,0.654526656088352,0.663348704492371,0.006780630499282378,49
68,0.7005287011464437,0.09045716160846266,0.009748379389444986,0.001061931131192781,0.21544346900318845,balanced,False,0.8,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.8}",0.6645048828578535,0.6710145745309075,0.654526656088352,0.663348704492371,0.006780630499282378,49
69,0.5362906455993652,0.08113154137779667,0.0088194211324056,0.0009243475773482267,0.21544346900318845,balanced,False,0.9,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.9}",0.6645048828578535,0.6710145745309075,0.654526656088352,0.663348704492371,0.006780630499282378,49
70,0.5076970259348551,0.020072890369626686,0.009761651357014975,0.000371061037268763,0.21544346900318845,balanced,False,0.95,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.95}",0.6645048828578535,0.6710145745309075,0.654526656088352,0.663348704492371,0.006780630499282378,49
71,0.5146666367848715,0.035661037345148736,0.009599685668945312,0.00037215320066933695,0.21544346900318845,balanced,False,,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': None}",0.6645048828578535,0.6710145745309075,0.654526656088352,0.663348704492371,0.006780630499282378,49
72,0.9568397204081217,0.023068557542209194,0.01623837153116862,0.0016748452642412768,3.1622776601683795,,True,0.5,"{'lr__C': 3.1622776601683795, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.5}",0.6653731788215539,0.669755683736279,0.6523214082454428,0.6624834236010919,0.007405021017221285,61
73,0.9731133778889974,0.0070009301403361115,0.015413284301757812,0.0034642219598152737,3.1622776601683795,,True,0.7,"{'lr__C': 3.1622776601683795, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.7}",0.6653731788215539,0.669755683736279,0.6523214082454428,0.6624834236010919,0.007405021017221285,61
74,1.1556813716888428,0.22709107506616422,0.036473751068115234,0.0244891194699207,3.1622776601683795,,True,0.8,"{'lr__C': 3.1622776601683795, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.8}",0.6653731788215539,0.669755683736279,0.6523214082454428,0.6624834236010919,0.007405021017221285,61
75,1.453992207845052,0.0921947424585182,0.017705599466959637,0.0009613996044565711,3.1622776601683795,,True,0.9,"{'lr__C': 3.1622776601683795, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.9}",0.6653731788215539,0.669755683736279,0.6523214082454428,0.6624834236010919,0.007405021017221285,61
